File;Chapter;Paragraph;LLM response
22016;;7	MS Software Version Number (SVN)	7;NO
22101;4.3.6	Paging policy selection for LTE;-	application characteristics that are known and trusted at the serving network (e.g. communication pattern, expected QoS (e.g. latency, reliability), and priority) ;NO
22101;4.10	The Evolved Packet System;Evolved Packet System is an evolution of the 3G UMTS characterized by higher-data-rate, lower-latency, packet-optimized system that supports multiple RATs. The Evolved Packet System comprises the Evolved Packet Core together with the evolved radio access network (E-UTRA and E-UTRAN).The service requirements for the Evolved Packet System are specified in TS22.278 [42].;NO
22104-j00;Introduction;The present document addresses a challenging class of vertical applications, namely cyber-physical control applications, which require very high levels of communication service availability, and some of them also require very low end-to-end latencies. ;NO
22104-j00;1	Scope;Communication services supporting cyber-physical control applications need to be ultra-reliable and, in some cases, the end-to-end latency must be very low. Communication for cyber-physical control applications supports operation in various vertical domains, for instance industrial automation, Smart Grid . ;NO
22104-j00;4.1	Introduction;Communication services supporting cyber-physical control applications need to be ultra-reliable, dependable with a high communication service availability, and often require low or (in some cases) very low end-to-end latency.;NO
22104-j00;5.1	Overview;In some cases, a local approach (e.g. network edge) is preferred for the communication service on the network side in order to reduce the latency, to increase communication service availability, or to keep sensitive data in a non-public network on the factory site.;NO
22104-j00;5.6C.1	Description;Transmission infrastructure is a key component of the energy system. Communication enables protection of this infrastructure. The algorithms involved depend on certain constraints must be met, particularly concerning the end-to-end latency.;NO
22104-j00;5.6C.2	Requirements;NOTE 1: Whether the end-to-end latency is 5 ms or 10 ms depends on the applied voltage level. ;NO
22104-j00;5.6C.2	Requirements;NOTE 2: The end-to-end latency is between two UEs, including two wireless links.;NO
22104-j00;5.7.1	General requirements;Table 5.7.1-1 below lists typical scenarios and the corresponding high positioning requirements for horizontal and vertical accuracy, availability, heading, latency, and UE speed.;NO
22104-j00;A.2.1	Overview;1)	Factory automation: Factory automation deals with the automated control, monitoring and optimisation of processes and workflows within a factory. This includes aspects like closed-loop control applications (e.g., based on programmable logic or motion controllers) and robotics, as well as aspects of computer-integrated manufacturing. Factory automation generally represents a key enabler for industrial mass production with high quality and cost-efficiency. Corresponding applications are often characterised by highest requirements on the underlying communication infrastructure, especially in terms of communication service availability, determinism, and latency. In the Factories of the Future, static sequential production systems will be more and more replaced by novel modular production systems offering a high flexibility and versatility. This involves many increasingly mobile production assets, for which powerful wireless communication and localisation services are required. ;NO
22104-j00;A.2.1	Overview;5)	Monitoring and maintenance: Monitoring of certain processes and/or assets in the context of industrial production without an immediate impact on the processes themselves (in contrast to a typical closed-loop control system in factory automation, for example). This particularly includes applications such as condition monitoring and predictive maintenance based on sensor data, but also big data analytics for optimising future parameter sets of a certain process, for instance. For these use cases, the data acquisition process is typically not latency-critical.;NO
22104-j00;A.2.2.3	Mobile robots;Periodic communication for the support of precise cooperative robotic motion control (transfer interval: 1 ms), machine control (transfer interval: 1 ms to 10 ms), co-operative driving (10 ms to 50 ms).;NO
22104-j00;A.2.3.4	Inspection in production systems;Timing accuracy and low latency ( <=20ms) ;NO
22104-j00;A.2.3.4	Inspection in production systems;Low-latency AR overlays and incorporation of AI/ML techniques to identify manufacturing issues and improve product quality as well as to enable offline adjustments for optimization, adaptations, and preventive operations on the machines;NO
22104-j00;A.6.1	Overview;On this matter, 5G enables shifting care location from hospitals to homes and others lower cost facilities which mechanically translates into more savings. Additionally, another example showing that 5G can enable cost savings required by the medical industry can be found inside hospitals where wireless transmission of low latency data streams improves operating room planning, enable streamlining equipment usage and simplifies operating theater implementation.;NO
22104-j00;B.6	Unacceptable deviation from target end-to-end latency;Cases (a) and (b) are often not classed as an unacceptable deviation from the target end-to-end latency.;NO
22104-j00;C.1.1	Area of consideration;The conditions that influence the behaviour of wireless communication are framed by the communication requirements of the application (e.g., end-to-end latency), the characteristics of the communication system (e.g., output power of a transmitter), and the transmission conditions of the media (e.g., signal fluctuations caused by multipath propagation). ;NO
22104-j00;C.2.2	Characteristic parameters;End-to-end latency;NO
22104-j00;C.4.7	Conclusion;Using the concepts of earliness and lateness (see Subclauses C.4.5 and C.4.6, respectively), the maximum and minimum end-to-end latency can be rewritten as follows.;NO
22104-j00;C.4.7	Conclusion;"Maximum end-to-end latency = target end-to-end latency + maximum lateness;";NO
22104-j00;C.5	Communication service terminology w.r.t. 5G network and vertical applications;-	End-to-end latency: Time measured from the point when a piece of data received at the CSIF in the source communication device until the same piece of data is passed to the CSIF in the target communication device.;NO
22104-j00;C.5	Communication service terminology w.r.t. 5G network and vertical applications;"If not stated otherwise, the terms ""end-to-end latency"" and ""transfer interval"" refer to the 3GPP system / 5G network parameters in this document.";NO
22104-j00;E.1	Description;The performance aspects that are covered by/in TS 22.263 [27] (Service requirements for Video, Imaging and Audio for professional applications) also target the latency that these services experience. ;NO
22104-j00;E.2	Multiple source wireless studio;Some approaches may also deploy main (leader) equipment at the broadcast centre with secondary (follower) equipment at the location site to reduce latency. ;NO
22125;7.3	Positioning performance requirements	;Table 7.3-1 below lists typical scenarios and the corresponding positioning requirements for horizontal and vertical accuracy, availability, heading, latency, and UE speed.;NO
22125[1];4.2	C2 Communication;There are four control modes considered in the C2 communication for the UAV operation that are with different requirements, e.g. on message intervals, sizes, and end to end latencies, etc., including steer to waypoints, direct stick steering, automatic flight by UTM and approaching autonomous navigation infrastructure. ;NO
22125[1];7.3	Positioning performance requirements	;Table 7.3-1 below lists typical scenarios and the corresponding positioning requirements for horizontal and vertical accuracy, availability, heading, latency, and UE speed.;NO
22156;5.1.1.2	Requirements;NOTE 3: 	Coordination refers to the ability to provide an acceptable level of user experience for a given service, e.g., based on latency and synchronization constraints (due to multiple sources or long distance between UEs/users). This can be based on a quantitative bound.;NO
22156;6.2	Performance requirements;"NOTE: 	Unless stated otherwise, the ""Max allowed end-to-end latency"" refers to the maximum transmission delay expected between a UE and the mobile metaverse server or vice-versa.";NO
22179-j00;6.15.3.1	General overview;The Mouth-to-ear latency (KPI 3) is the time between an utterance by the transmitting user, and the playback of the utterance at the receiving user's speaker. Figure 6.15.3.1.1 illustrates the MCPTT Access time and Mouth-to-ear latency.;NO
22179-j00;6.15.3.1	General overview;Figure 6.15.3.1.1: Illustration of MCPTT access time and mouth-to-ear latency;NO
22179-j00;7.11.1.1	General overview;Figure 7.11.1.1-1: Illustration of MCPTT Access time and Mouth-to-ear latency;NO
22179-j00;7.11.1.2	Requirements;NOTE:	The MCPTT Access time and Mouth-to-ear latency for off-network use is FFS.;NO
22261-j30;Introduction;-	Advanced Key Performance Indicators (KPIs) (e.g. availability, latency, reliability, user experienced data rates, area traffic capacity);NO
22261-j30;4	Overview;The 5G system also aims to enhance its capability to meet KPIs that emerging V2X applications require. For these advanced applications, the requirements, such as data rate, reliability, latency, communication range and speed, are made more stringent.;NO
22261-j30;6.1.1	Description;Network slicing allows the operator to provide customised networks. For example, there can be different requirements on functionality (e.g. priority, charging, policy control, security, and mobility), differences in performance requirements (e.g. latency, mobility, availability, reliability and data rates), or they can serve only specific users (e.g. MPS users, Public Safety users, corporate customers, roamers, or hosting an MVNO).;NO
22261-j30;6.2.1	Description;With the ever-increasing multimedia broadband data volumes, it is also important to enable the offloading of IP traffic from the 5G network onto traditional IP routing networks via an IP anchor node close to the network edge. As the UE moves, changing the IP anchor node can be needed in order to reduce the traffic load in the system, reduce end-to-end latency and provide a better user experience.;NO
22261-j30;6.5.1	Description;5G is designed to meet diverse services with different and enhanced performances (e.g. high throughput, low latency and massive connections) and data traffic model (e.g. IP data traffic, non-IP data traffic, short data bursts and high throughput data transmissions).;NO
22261-j30;6.7.2		Requirements;NOTE 3: The case where a backhaul connection has dynamically changed latency and/or bandwidth needs to be considered.;NO
22261-j30;6.12.2	Requirements;NOTE 2: This is to enhance reliability and capacity and reduce end-to-end latency.;NO
22261-j30;6.13.2	Requirements;NOTE 3: In this context user perception refers to a difference in delay of typically less than 20 ms.;NO
22261-j30;6.23.2	Requirements;NOTE 2:	The QoS parameters to be monitored and reported can include latency (e.g. UL/DL or round trip), jitter, and packet loss rate.;NO
22261-j30;6.23.2	Requirements;NOTE 9:	These reports use a standard format. The specific values, thresholds, and conditions upon which alarms occur can include the measured values for end-to-end latency, service bit rate, communication service availability, end-to-end latency jitter, etc. for a UE, the UE’s location, and the time(s) during which the degradation occurred.;NO
22261-j30;6.23.2	Requirements;NOTE 11:		The QoS parameters to be monitored and reported can include latency (e.g. UL or DL).;NO
22261-j30;6.27.2	Requirements;NOTE 3: 	the position service latency can be tailored to the use cases.;NO
22261-j30;6.27.2	Requirements;NOTE 6: 	the position service latency can be tailored to the use cases.;NO
22261-j30;6.28.1	Description;Smart Grid is a term that refers to enhanced cyber-physical control of electrical grids and to related application. Smart Grid operation can cover power generation, transmission, distribution, and consumption, which can require high communication service availability and communication service reliability, and in some cases a low end-to-end latency with more accurate clock synchronization. 5G system functionalities can be used for Smart Grid control, monitoring, availability assurance, service security, isolation and etc.Communication for cyber-physical control applications supports operation in various vertical domains, for instance industrial automation and energy automation.;NO
22261-j30;6.29.1	Description;The 5G system is expected to support advanced capabilities and performance of messaging service especially for massive IoT communication which are introduced by the MSGin5G Service [22]. The MSGin5G Service provides one to one, group and broadcast message services for thing-to-thing and person-to-thing communication with low end-to-end latency and high reliability of message delivery, in a resource efficient manner to optimize the resource usage of the both control plane and user plane in the network, and power saving in the user devices.;NO
22261-j30;7.2.2	Scenarios and KPIs ;Some scenarios requiring very low latency and very high communication service availability are described below:;NO
22261-j30;7.3.1	Description;Adaptability and flexibility are among the key features of the 5G system to serve a wide diversity of verticals and services, in different environments (e.g. rural, urban, indoor). This applies to high-accuracy positioning and translates into the ability to satisfy different levels of services and requirements, for instance on performance (e.g. accuracy, positioning service availability, positioning service latency) and on functionality (e.g. security).;NO
22261-j30;7.3.2.1	General;NOTE 1:	For instance, the combination of 3GPP positioning technologies with non-3GPP positioning technologies such as GNSS (e.g. Beidou, Galileo, GLONASS, and GPS), Terrestrial Beacon Systems (TBS), sensors (e.g. barometer, IMU), WLAN/Bluetooth-based positioning, can support the improvement of accuracy, positioning service availability, reliability and/or confidence level, the reduction of positioning service latency, the increase of the update rate of the position-related data, increase the coverage (service area).;NO
22261-j30;7.4.2	Requirements;NOTE 2:	 5 ms network latency is assumed and added to satellite one-way delay.;NO
22261-j30;7.6.1	AR/VR;-	motion-to-photon latency in the range of 7 ms to 15ms while maintaining the required resolution of up to 8k giving user data rate of up to [1Gbit/s] and;NO
22261-j30;7.6.1	AR/VR;-	motion-to-sound delay of [< 20 ms].;NO
22261-j30;7.6.1	AR/VR;-	in the range of [125 ms to 5 ms] for audio delayed and;NO
22261-j30;7.6.1	AR/VR;-	in the range of [45 ms to 5 ms] for audio advanced. ;NO
22261-j30;7.6.1	AR/VR;Table 7.6.1-1 KPI Table for additional high data rate and low latency service;NO
22261-j30;D.1.0		General;-	Combination of multiple diversity techniques to approach the high reliability target within stringent end-to-end latency constraints (example: frequency, antenna and various forms of spatial diversity, e.g. via relaying);NO
22261-j30;D.1.0		General;-	Utilizing OTA time synchronization to satisfy latency-variation constraints for isochronous operation.;NO
22262;4.1	General;Nevertheless, the characteristics of MIoT devices including high density connection, flexible mobility, saving power, limited computing capability, bulk of devices, and traffic pattern of short burst of small data will bring various new demands on message communication, e.g. light weight message communication for provision and monitoring, ultra low latency and high reliability message communication for remote control, and extremely high resource efficiency for large scale connections.;NO
22262;5.1.2	Requirements;NOTE 1:	Initial connection activation latencies may be longer depending on receiving UE power saving states, paging, etc. ;NO
22262[1];5.1.2	Requirements;NOTE 1:	Initial connection activation latencies may be longer depending on receiving UE power saving states, paging, etc. ;NO
22263;4.2.1	System latency;Figure 4.2.1-1: Overall system Latency for video, imaging and audio applications. ;NO
22263;4.2.1	System latency;The overall system latency comprises different latency elements as illustrated in Figure 4.2.1-1, where:;NO
22263;4.2.1	System latency;T2 = T4 = Time Delay through 5G Network, defined as the end-to-end latency in TS 22.261 [4];NO
22263;4.2.1	System latency;So that the overall system latency results from the sum of the of T = T1 + T2 + T3 + T4 + T5 ;NO
22263;5.6	Multi-network connectivity and service delivery ;NOTE: 	Depending on the capabilities and configurations of the UE, limitations of data-rate and latency may be acceptable. ;NO
22263;6.2	General performance requirements;Table 6.2.1-1: Performance requirements of professional low-latency periodic deterministic audio transport service;NO
22263;6.2	General performance requirements;Table 6.2-1-2: Performance requirements of low-latency periodic deterministic audio transport service in presentation use cases;NO
22263;6.2	General performance requirements;Table 6.2.1-3: Performance requirements for low latency video.;NO
22263;6.2.2	Medical applications;Table 6.2.2-1: Performance requirements for low latency ultra-reliable imaging/video traffic for medical applications;NO
22263;6.3.1	Audio and video production applications;Table 6.3.1-1: Performance requirements for low latency deterministic periodic traffic with multicast service.;NO
22263;6.3.2	Medical applications;Table 6.3.2-1: Performance requirements for low latency ultra-reliable imaging/video multicast traffic for medical applications;NO
22281;4.1	Description of the MCVideo service;"Mission critical and public safety level functionality (e.g. group sessions, affiliations, end-to-end confidentiality, emergency type communications) and performance (e.g. low latency);";NO
22281;5.1.1.3.1	Description;To avoid dimensioning a service to only cope with the most urgent requirements all the time and to avoid having the user community invoke Emergency just to mark a video as low latency, video modes are introduced.;NO
22281;5.1.5.2	Requirements;[R-5.1.5.2-005] The MCVideo service shall provide a minimum of four levels of latencies for controlling video:;NO
22281;5.1.5.2	Requirements;NOTE: 	At this stage of the work, the latency is an end-to-end latency. The split between network latency and robot latency is left for stage 2.;NO
