File;Chapter;Paragraph;LLM response;Requirement
22071;"Annex A (informative):
USA FCC Wireless E911 Rules";Location Delivery Latency (Time to First Fix) is set at a maximum of 30 seconds from the time the user initiates an emergency service call to the time it is available at the location information center.;POSSIBLE;The system shall deliver location information to the location information center within 30 seconds from the initiation of an emergency service call.
22101;7.2	Multimedia;"Conversational services are real time (no store and forward), usually bi-directional where low end to end delays (< 100 ms) and a high degree of synchronisation between media components (implying low delay variation) are required. Video telephony and video conferencing are typical conversational services.""";POSSIBLE;The system shall ensure that the end-to-end latency for conversational services, such as video telephony and video conferencing, does not exceed 100 ms to maintain a high degree of synchronisation between media components.
22101;29.2	Exposed Services and capabilities;-	The 3GPP Core Network shall enable a 3rd party service provider to request setting up data sessions with specified QoS (e.g. low latency or jitter) and priority handling to a UE that is served by the 3rd party service provider.;POSSIBLE;The system shall support setup of data sessions with latency less than or equal to the value specified in the Quality of Service (QoS) profile requested by the 3rd party service provider, as per 3GPP standards for low-latency communication.
22104-j00;4.3	Communication attributes;Periodicity means that a transmission interval is repeated. For example, a transmission occurs every 15 ms. Reasons for a periodical transmission can be the periodic update of a position or the repeated monitoring of a characteristic parameter. Most periodic intervals in communication for automation are rather short. The transmission is started once and continuous unless a stop command is provided.;POSSIBLE;The system shall support periodic transmissions with intervals as low as 15 ms, allowing for continuous updates or monitoring until a stop command is received.
22104-j00;4.3	Communication attributes;Determinism refers to whether the delay between transmission of a message and receipt of the message at the destination address is stable (within bounds). Usually, communication is called deterministic if it is bounded by a given threshold for the latency/transmission time. In case of a periodic transmission, the variation of the interval is bounded.;POSSIBLE;The system shall ensure that the delay between transmission of a message and receipt of the message at the destination address does not exceed a predetermined threshold, ensuring deterministic communication with bounded latency.
22104-j00;5.1	Overview;Communication service availability is considered an important service performance requirement for cyber-physical applications, especially for applications with deterministic traffic. The communication service availability depends on the latency and reliability (in the context of network layer packet transmissions, as defined in TS 22.261 [2]) of the logical communication link, as well as the survival time of the cyber-physical application (see Annex C.3 for further details on these relations).;POSSIBLE;The system shall provide a latency that supports the required communication service availability for cyber-physical applications with deterministic traffic, in accordance with TS 22.261.
22104-j00;5.1	Overview;High accuracy positioning is becoming essential for Factories of the Future. The reason for this is that tracking of mobile devices as well as mobile assets is becoming increasingly important in improving processes and increasing flexibility in industrial environments, Clause 5.7 provides positioning requirements for horizontal and vertical accuracy, availability, heading, latency and UE speed in an industrial use case scenario.;POSSIBLE;The system shall provide high accuracy positioning with a latency that meets the requirements specified in Clause 5.7 of the 3GPP standard for industrial use cases.
22104-j00;5.6C.2	Requirements;The 5G system shall support an end-to-end latency of less than 5 ms or 10 ms, as requested by the UE initiating the communication.;POSSIBLE;The system shall support end-to-end latency of less than 5 ms when requested by the User Equipment (UE) and less than 10 ms otherwise, in accordance with 3GPP standards.
22104-j00;5.6C.2	Requirements;The 5G system shall support communication channel symmetry in terms of end-to-end latency (latency from UE1 to UE2, and end-to-end latency from UE2 to UE1), with an asymmetry of < 2ms. ;POSSIBLE;The system shall ensure that the difference between the end-to-end latency from User Equipment (UE) 1 to UE2 and the end-to-end latency from UE2 to UE1 does not exceed 2 milliseconds, maintaining communication channel symmetry in accordance with 3GPP standards.
22104-j00;A.2.2.3	Mobile robots;–	AGV route control and emergency safety related time critical latency and response can be achieved with an edge cloud where the edge infrastructure is located close to the AGVs;POSSIBLE;The system shall ensure that the latency for AGV route control and emergency safety related time-critical communications does not exceed the maximum allowed value as specified in 3GPP standards when using an edge cloud deployment with infrastructure located within a proximity of [insert distance or delay budget] to the AGVs.
